kolumna_zrodlowa,kolumna_docelowa,id_uruchomienia
weather_api.records,weather_bronze.timestamp,78ff21e0c3b0
weather_api.records,weather_bronze.station_id,78ff21e0c3b0
weather_api.records,weather_bronze.temperature,78ff21e0c3b0
weather_api.records,weather_bronze.humidity,78ff21e0c3b0
weather_api.records,weather_bronze.pressure,78ff21e0c3b0
weather_api.records,weather_bronze.wind_speed,78ff21e0c3b0
weather_api.records,weather_bronze.wind_direction,78ff21e0c3b0
weather_api.records,weather_bronze.rain_mm,78ff21e0c3b0
weather_api.records,weather_bronze.cloud_cover,78ff21e0c3b0
weather_api.records,weather_bronze._ingested_at,78ff21e0c3b0
weather_api.records,weather_bronze._source_file,78ff21e0c3b0
weather_bronze.timestamp,weather_silver.timestamp,89962fe93d2f
weather_bronze.station_id,weather_silver.station_id,89962fe93d2f
weather_bronze.temperature,weather_silver.temperature,89962fe93d2f
weather_bronze.humidity,weather_silver.humidity,89962fe93d2f
weather_bronze.pressure,weather_silver.pressure,89962fe93d2f
weather_bronze.wind_speed,weather_silver.wind_speed,89962fe93d2f
weather_bronze.wind_direction,weather_silver.wind_direction,89962fe93d2f
weather_bronze.rain_mm,weather_silver.rain_mm,89962fe93d2f
weather_bronze.cloud_cover,weather_silver.cloud_cover,89962fe93d2f
weather_bronze.temperature,weather_silver.is_valid,89962fe93d2f
weather_bronze.humidity,weather_silver.is_valid,89962fe93d2f
weather_bronze.pressure,weather_silver.is_valid,89962fe93d2f
weather_bronze.wind_speed,weather_silver.is_valid,89962fe93d2f
weather_bronze.wind_direction,weather_silver.is_valid,89962fe93d2f
weather_bronze.rain_mm,weather_silver.is_valid,89962fe93d2f
weather_bronze.cloud_cover,weather_silver.is_valid,89962fe93d2f
weather_bronze.timestamp,weather_silver.is_valid,89962fe93d2f
weather_silver.station_id,weather_hourly_gold.station_id,61ae9cfb7c55
weather_silver.timestamp,weather_hourly_gold.hour,61ae9cfb7c55
weather_silver.temperature,weather_hourly_gold.avg_temperature,61ae9cfb7c55
weather_silver.humidity,weather_hourly_gold.avg_humidity,61ae9cfb7c55
weather_silver.pressure,weather_hourly_gold.avg_pressure,61ae9cfb7c55
weather_silver.wind_speed,weather_hourly_gold.max_wind_speed,61ae9cfb7c55
weather_silver.rain_mm,weather_hourly_gold.total_rain_mm,61ae9cfb7c55
weather_silver.cloud_cover,weather_hourly_gold.avg_cloud_cover,61ae9cfb7c55
weather_silver.temperature,weather_hourly_gold.n_measurements,61ae9cfb7c55
weather_silver.temperature,weather_hourly_gold.comfort_index,61ae9cfb7c55
weather_silver.humidity,weather_hourly_gold.comfort_index,61ae9cfb7c55
weather_silver.wind_speed,weather_hourly_gold.comfort_index,61ae9cfb7c55
weather_hourly_gold.station_id,station_summary.station_id,9f196fc9d3b9
weather_hourly_gold.hour,station_summary.hours_covered,9f196fc9d3b9
weather_hourly_gold.avg_temperature,station_summary.avg_temperature,9f196fc9d3b9
weather_hourly_gold.comfort_index,station_summary.avg_comfort_index,9f196fc9d3b9
weather_hourly_gold.total_rain_mm,station_summary.total_rain_mm,9f196fc9d3b9
weather_hourly_gold.max_wind_speed,station_summary.peak_wind_speed,9f196fc9d3b9
weather_hourly_gold.comfort_index,station_summary.comfort_label,9f196fc9d3b9
